TWA;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;50
40;0.81;1.64;2.48;3.93;5.12;6.05;7.82;12.44;15.24;16.41;11.68;12.17;13.06;10.07;9.22;6.45;8.09;7.81;6.86;6.48;5.89
44;0.89;2.02;3.07;4.77;6.32;7.71;9.2;14.04;16.56;17.98;15.74;15.84;15.2;11.87;10.24;9.67;11.06;8.08;9.17;9.13;8.3
46;0.95;2.23;3.38;5.17;6.88;8.53;9.88;14.82;17.41;19.32;17.35;17.26;16.81;13.22;11.41;11.8;12.51;10.18;9.95;9.55;8.68
48;0.99;2.44;3.7;5.53;7.39;9.3;10.51;15.54;18.24;20.94;17.77;19.55;18.02;14.95;13.08;12.57;13.27;11.08;10.75;10.52;9.56
50;1.07;2.67;4.04;5.92;7.96;10.15;12.55;22.39;23.6;24.21;19.55;21.5;19.09;15.78;15.57;15.82;15.31;11.45;11.65;11.86;10.78
52;1.13;2.85;4.32;6.25;8.37;10.7;17.0;22.92;24.04;24.69;20.36;22.41;19.91;18.18;18.02;17.62;17.92;13.65;13.7;13.46;12.24
54;1.21;3.05;4.61;6.6;9.92;14.1;22.0;23.43;24.53;25.3;28.0;29.0;27.0;27.0;26.0;26.0;26.0;15.99;15.76;15.07;13.7
56;1.38;3.22;4.87;7.43;11.19;15.51;22.34;23.92;25.06;25.84;28.29;29.26;27.37;27.54;26.49;26.21;26.13;24.0;24.0;22.87;20.79
58;1.5;3.46;5.97;8.37;12.31;15.89;22.74;24.42;25.68;26.42;28.64;29.47;27.74;27.93;26.8;26.4;26.25;24.15;24.13;23.09;20.99
60;1.79;3.6;7.0;10.0;12.57;16.23;23.14;24.98;26.32;27.08;28.97;29.87;28.27;28.38;27.22;26.67;26.52;24.27;24.23;23.32;21.2
65;2.16;4.36;7.11;10.13;13.08;16.91;24.2;26.26;27.93;28.7;30.27;31.01;29.82;29.46;28.11;27.5;27.03;24.86;24.61;23.95;21.77
70;2.33;4.6;7.19;10.24;13.58;17.46;25.4;27.83;29.77;30.41;31.95;32.49;31.67;30.36;29.22;28.39;27.7;25.54;24.84;24.59;22.35
75;2.37;4.73;7.24;10.39;14.0;18.02;26.81;29.69;31.61;31.94;33.57;33.92;33.67;31.59;30.47;29.44;28.24;26.28;25.22;25.03;22.75
80;2.41;4.81;7.38;10.52;14.39;18.53;27.89;31.09;32.97;33.34;34.73;35.3;36.0;32.66;31.23;30.15;28.86;27.1;25.77;25.36;23.05
85;2.43;4.85;7.48;10.7;14.66;18.85;28.92;32.15;33.62;34.6;35.66;36.0;37.47;33.6;32.23;30.97;29.58;27.98;26.09;25.86;23.51
90;2.46;4.92;7.62;10.98;14.85;19.17;29.49;33.08;33.9;35.37;36.52;36.48;38.52;34.25;33.18;31.5;30.16;28.81;26.54;26.24;23.85
95;2.49;4.97;7.76;11.31;14.96;19.4;29.83;33.29;34.2;35.79;37.0;36.67;39.01;34.85;33.78;31.96;30.8;29.24;27.28;26.8;24.36
100;2.51;5.03;7.91;11.57;15.02;19.63;29.76;33.11;34.5;35.99;37.12;36.92;39.3;35.56;34.11;32.5;31.56;29.72;27.94;27.47;24.97
105;0.79;4.98;8.13;11.89;15.08;19.52;29.47;33.01;34.75;36.14;37.17;37.25;39.87;36.21;34.63;32.93;32.31;30.38;28.6;28.37;25.79
110;0.79;4.93;8.31;12.22;15.14;19.4;28.94;32.63;34.79;36.03;37.27;37.67;40.2;37.03;35.23;33.6;33.02;31.29;29.61;29.21;26.55
115;0.78;2.52;8.54;12.59;15.27;19.21;28.22;32.01;34.4;36.0;37.49;38.02;40.46;37.75;35.53;34.07;33.76;32.1;30.59;29.86;27.15
120;0.77;2.49;8.82;12.86;15.42;18.96;27.06;31.47;33.93;35.54;37.67;38.59;40.95;38.33;35.86;34.61;34.37;33.14;31.38;30.34;27.58
125;0.54;1.73;7.29;11.19;11.66;14.02;25.47;30.9;33.44;34.85;37.83;38.96;41.23;38.97;36.46;35.28;34.83;33.75;32.12;30.95;28.14
127;0.51;1.62;5.69;10.63;10.29;13.88;25.02;30.74;33.05;34.59;37.76;38.98;41.29;39.24;36.95;35.54;35.05;34.03;32.39;31.12;28.29
130;0.51;1.48;3.58;8.66;9.15;13.69;20.02;30.39;32.54;34.3;37.38;39.0;41.09;39.67;37.78;36.19;35.52;34.34;32.81;31.38;28.53
132;0.53;1.4;3.38;7.69;8.49;13.6;17.17;30.0;32.0;34.02;36.84;38.81;40.83;39.75;38.4;36.75;36.01;34.58;33.11;31.48;28.62
135;0.49;1.29;3.12;4.81;6.29;8.59;13.0;25.95;30.2;33.41;35.74;37.91;40.46;39.86;39.1;37.58;36.66;34.98;33.38;31.67;28.79
137;0.4;1.19;2.92;4.62;5.52;7.73;7.39;22.17;26.99;33.0;35.0;37.34;40.16;39.78;39.4;38.21;36.96;35.21;33.57;31.74;28.85
140;0.53;1.05;2.72;4.22;5.97;6.67;7.28;12.97;26.09;28.18;31.06;36.0;39.64;39.5;39.42;38.5;37.2;35.74;34.05;32.0;29.09
142;0.5;0.9;2.63;3.98;5.55;7.35;6.98;12.56;22.56;26.12;28.04;31.82;39.0;39.23;39.24;38.33;37.33;36.0;34.0;30.14;27.4
145;0.45;1.2;2.39;3.65;5.36;7.53;6.97;11.98;19.09;22.03;25.09;31.56;36.45;38.82;38.82;37.85;36.88;31.69;30.98;27.25;24.77
148;0.41;1.07;2.14;3.31;5.1;7.5;6.92;11.3;17.68;20.52;22.5;31.4;35.85;30.27;32.33;32.36;29.3;26.52;28.11;24.78;22.53
150;0.37;0.99;1.98;3.1;4.94;7.49;6.89;10.89;16.82;19.55;20.79;20.96;35.45;26.67;29.15;30.55;29.22;24.74;25.71;21.21;19.28
155;0.31;0.82;1.65;2.63;4.56;7.45;6.83;9.84;14.38;16.36;18.32;19.11;19.78;21.94;24.45;23.25;29.0;20.05;21.22;19.45;17.68
160;0.24;0.65;1.3;2.15;4.13;7.23;6.66;8.57;11.53;12.77;15.29;16.71;17.44;15.89;15.93;15.64;15.35;16.56;14.76;14.47;13.15
